dataset,stem_group,genre_sub,split,files,total_h,active_h,active_frac,n_segments,seg_p25_s,seg_p50_s,seg_p75_s,gap_p25_s,gap_p50_s,gap_p75_s,gap_p95_s
71955,거문고,판소리,train,202.0,13.47,13.26,0.9849,902.0,5.8,17.94,63.43,0.18,0.55,1.01,2.21
71955,거문고,판소리,val,27.0,1.53,1.51,0.9879,98.0,6.58,15.92,62.93,0.05,0.14,0.6,1.4
71955,거문고,풍류음악,test,10.0,0.69,0.69,0.9971,17.0,45.4,95.17,240.44,0.07,0.18,0.41,0.46
71955,거문고,풍류음악,train,44.0,3.17,3.15,0.9929,183.0,2.97,6.53,60.86,0.16,0.37,0.78,1.01
71955,거문고,풍류음악,val,8.0,0.47,0.47,0.9983,9.0,128.25,145.54,280.23,0.64,0.64,0.64,0.64
71955,기타,궁중음악,test,4.0,0.53,0.44,0.8307,17.0,25.35,103.78,130.82,0.05,0.09,0.18,0.55
71955,기타,궁중음악,train,15.0,1.48,1.47,0.9947,47.0,15.59,54.33,169.9,0.09,0.32,0.53,1.19
71955,기타,궁중음악,val,4.0,0.51,0.51,0.9983,13.0,38.23,89.29,202.72,0.09,0.23,0.32,0.53
71955,기타,창작국악,test,21.0,1.2,0.72,0.599,218.0,1.43,5.2,18.54,0.64,4.09,5.29,20.79
71955,기타,창작국악,train,121.0,7.3,3.72,0.5093,1388.0,2.58,5.59,11.93,0.64,2.67,7.5,33.3
71955,기타,창작국악,val,18.0,0.85,0.48,0.5583,132.0,5.43,10.49,15.96,0.46,1.84,9.05,21.38
71955,기타,풍류음악,test,13.0,0.7,0.7,0.9943,37.0,6.76,29.3,95.36,0.17,0.28,0.41,0.59
71955,기타,풍류음악,train,51.0,2.78,2.73,0.9812,115.0,35.93,65.96,111.76,0.05,0.14,0.28,0.55
71955,기타,풍류음악,val,7.0,0.27,0.27,0.9958,8.0,98.66,115.41,133.15,0.14,0.14,0.14,0.14
71955,대금,궁중음악,test,7.0,0.7,0.69,0.9834,49.0,3.22,5.66,26.27,0.23,0.37,0.69,1.1
71955,대금,궁중음악,train,28.0,2.32,2.29,0.9882,131.0,5.34,12.97,57.27,0.21,0.37,0.53,0.78
71955,대금,궁중음악,val,5.0,0.61,0.61,0.9925,33.0,3.96,8.74,27.92,0.09,0.23,0.4,1.01
