song_id,genre,htdemucs_drums_pct,htdemucs_bass_pct,htdemucs_other_pct,htdemucs_vocals_pct,htdemucs_tak_drums_sisdr,bsroformer_drums_pct,bsroformer_bass_pct,bsroformer_other_pct,bsroformer_vocals_pct,bsroformer_tak_drums_sisdr
0235_민속악_산조,산조,0.0879,24.6532,75.257,0.0019,-26.6181,14.0938,56.9838,13.9897,14.9327,-29.9624
0247_민속악_산조,산조,1.8785,8.0039,89.0769,1.0408,-11.4206,35.9011,20.125,3.5229,40.451,-12.9592
0249_민속악_산조,산조,0.4947,0.2612,99.2435,0.0005,-11.9045,26.3654,28.1528,28.7786,16.7032,-27.9835
0265_민속악_산조,산조,0.0005,5.9868,94.0118,0.0009,-27.7132,9.3028,13.6025,47.5615,29.5331,-15.0687
0287_민속악_산조,산조,0.4977,47.0172,52.4837,0.0015,-24.6207,17.5219,34.164,23.2575,25.0566,-3.2401
0292_민속악_산조,산조,0.622,39.0659,58.3686,1.9435,-19.9684,14.437,43.9537,11.2011,30.4082,-7.7713
0312_민속악_산조,산조,37.1285,0.0046,58.9642,3.9026,25.3223,37.4966,0.0,16.5814,45.922,32.6963
0316_민속악_산조,산조,22.1757,0.0024,77.8163,0.0056,20.8319,22.1705,0.0,0.0007,77.8289,27.9566
0333_민속악_산조,산조,70.3969,0.0011,23.1543,6.4476,25.2088,71.8636,0.0,12.4809,15.6555,32.2413
0339_민속악_산조,산조,80.5119,0.0008,7.6353,11.8521,26.483,80.8104,0.0,0.0,19.1896,29.8692
0379_민속악_산조,산조,2.1946,55.1251,0.0794,42.6009,-12.1729,1.68,56.23,0.0,42.0899,-15.1333
0394_민속악_산조,산조,19.7478,0.6505,8.2483,71.3535,11.3757,6.6633,15.4641,0.0003,77.8723,-3.6586
0396_민속악_산조,산조,24.218,1.1638,0.0816,74.5367,12.2684,8.7899,17.3528,0.0,73.8573,-2.9396
0406_민속악_대풍류,대풍류,5.4908,2.8276,71.8435,19.8381,2.2934,0.4483,8.7308,63.4751,27.3458,-12.3814
0415_민속악_대풍류,대풍류,23.5899,5.5482,43.8148,27.0471,6.8442,4.4916,25.1677,44.7197,25.6211,-6.0895
0425_민속악_판소리,판소리,7.4559,2.0914,90.2769,0.1758,2.1134,0.1307,13.5503,72.1248,14.1942,-18.7893
0428_민속악_판소리,판소리,12.8811,8.8271,78.092,0.1999,2.032,1.5243,22.3684,66.4406,9.6667,-11.1353
